version	flags	bench	param	threads	speedup
2009-07-07 15:05	-I	perfect-square	1	4	5.27025435993034
2009-07-07 15:05	-I	perfect-square	1	8	9.92026409344845
2009-07-07 15:05	-I	perfect-square	1	16	15.7767090094721
2009-07-07 15:05	-I	perfect-square	2	4	3.70509608846581
2009-07-07 15:05	-I	perfect-square	2	8	8.33016856418715
2009-07-07 15:05	-I	perfect-square	2	16	11.7836899613021
2009-07-07 15:05	-I	perfect-square	3	4	3.97156643377932
2009-07-07 15:05	-I	perfect-square	3	8	6.68802706790044
2009-07-07 15:05	-I	perfect-square	3	16	12.7933316989458
2009-07-07 15:05	-I	perfect-square	4	4	3.35463505881507
2009-07-07 15:05	-I	perfect-square	4	8	6.69963001544596
2009-07-07 15:05	-I	perfect-square	4	16	9.70855239185883
2009-07-07 15:05	-I	queens	1000	4	1.02446522351736
2009-07-07 15:05	-I	queens	1000	8	1.02453083968488
2009-07-07 15:05	-I	queens	1000	16	1.02630565892468
2009-07-07 15:05	-I	queens	2000	4	1.02721410961502
2009-07-07 15:05	-I	queens	2000	8	1.02897036474164
2009-07-07 15:05	-I	queens	2000	16	1.02835173875898
2009-07-07 15:05	-I	queens	4000	4	1.01245825242718
2009-07-07 15:05	-I	queens	4000	8	1.01998435054773
2009-07-07 15:05	-I	queens	4000	16	1.01910718473927
2009-07-07 15:05	-I	queens	5000	4	1.01208919025935
2009-07-07 15:05	-I	queens	5000	8	1.01912581923297
2009-07-07 15:05	-I	queens	5000	16	1.0234871615196
2009-07-07 15:05	-I	queens	6000	4	1.00808066213957
2009-07-07 15:05	-I	queens	6000	8	1.01039554801605
2009-07-07 15:05	-I	queens	6000	16	1.01445647997175
