version	flags	bench	param	threads	speedup
2009-07-07 15:05	-I	perfect-square	1	4	5.30112851220636
2009-07-07 15:05	-I	perfect-square	1	8	9.83023702754645
2009-07-07 15:05	-I	perfect-square	1	16	15.9511434511435
2009-07-07 15:05	-I	perfect-square	2	4	3.61071808218174
2009-07-07 15:05	-I	perfect-square	2	8	8.14823393167342
2009-07-07 15:05	-I	perfect-square	2	16	11.9095635352436
2009-07-07 15:05	-I	perfect-square	3	4	4.00950302068175
2009-07-07 15:05	-I	perfect-square	3	8	6.67745015238865
2009-07-07 15:05	-I	perfect-square	3	16	12.5118343195266
2009-07-07 15:05	-I	perfect-square	4	4	3.25789692811759
2009-07-07 15:05	-I	perfect-square	4	8	6.72933258553
2009-07-07 15:05	-I	perfect-square	4	16	9.47641112047178
2009-07-07 15:05	-I	queens	1000	4	1.0
2009-07-07 15:05	-I	queens	1000	8	0.75
2009-07-07 15:05	-I	queens	1000	16	0.692307692307693
2009-07-07 15:05	-I	queens	2000	4	1.0
2009-07-07 15:05	-I	queens	2000	8	0.959537572254335
2009-07-07 15:05	-I	queens	2000	16	0.904632152588555
2009-07-07 15:05	-I	queens	4000	4	1.02076677316294
2009-07-07 15:05	-I	queens	4000	8	1.01670644391408
2009-07-07 15:05	-I	queens	4000	16	0.989164086687306
2009-07-07 15:05	-I	queens	5000	4	1.02003081664099
2009-07-07 15:05	-I	queens	5000	8	1.01950718685832
2009-07-07 15:05	-I	queens	5000	16	1.00658895083629
2009-07-07 15:05	-I	queens	6000	4	1.01437297879986
2009-07-07 15:05	-I	queens	6000	8	1.01110315186246
2009-07-07 15:05	-I	queens	6000	16	1.00391180654339
